No,Nama Destinasi,Provinsi,Kategori,Rating,Jumlah pengujung/bulan,Harga Tiket Masuk (IDR),Fasilitas Utama,Latitude,Longitude,Link Gambar
207,Alun-Alun Sampang,Jawa Timur,Rekreasi & Taman,4.3,12574,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-7.1856,113.2427,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnsQu6jb_IP1vAKac3F9QQTLPMg3zw:1783857421711&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO1-aIfBGgrCcIVN0Hx3Id3CFRgWgdhozW38-arWz8kuKD88mZ7jjb2UwtdDJY3z9-wMN_brhLX--pziUUsXJ2C592_1HlmAh8a2_s_RtbA196DKdK4u0vxnhzS9brF-aeeyzgfQ&q=Alun-Alun+Sampang&sa=X&sqi=2&ved=2ahUKEwj7uc3fis2VAxWdb2wGHS53MI8QtKgLegQIERAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLU1ERTRJRUZlMi1TVHFNMg5NREU0SUVGZTItU1RxTToOM083SkZ3V0Z5blBiRE0gBCoXCgFzEhBlLU1ERTRJRUZlMi1TVHFNGAEwARgHII7MjYwKSggQARgBIAEoAQ
208,Alun-Alun Pamekasan,Jawa Timur,Rekreasi & Taman,4.7,11374,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-7.161,113.4831,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnuNFgX1TAq3JA9K7Fj4da7Fea2L-w:1783857486517&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO1-aIfBGgrCcIVN0Hx3Id3CFRgWgdhozW38-arWz8kuKD88mZ7jjb2UwtdDJY3z9-wMN_brhLX--pziUUsXJ2C592_1HlmAh8a2_s_RtbA196DKdK4u0vxnhzS9brF-aeeyzgfQ&q=Alun-Alun+Pamekasan&sa=X&ved=2ahUKEwit-MD-is2VAxXfQ2cHHRFqA2YQtKgLegQIDxAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLUE3M1dXd0JQcTUxX05NMg5BNzNXV3dCUHE1MV9OTToOVzExMXV2QUJ4TUViSk0gBCoXCgFzEhBlLUE3M1dXd0JQcTUxX05NGAEwARgHIMSj-ZwGSggQARgBIAEoAQ
209,Alun-Alun Sumenep,Jawa Timur,Rekreasi & Taman,4.6,11892,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-7.0094,113.8601,https://www.google.com/search?q=Alun-Alun+Sumenep&sca_esv=3411e0dcc18d8ddc&udm=2&biw=1280&bih=585&sxsrf=APpeQnscjZr1nNMq2Cz9nSRMxZTtbY4ccw%3A1783857491678&ei=U4FTauOCKdmSseMP6vLB8A4&ved=0ahUKEwij-PuAi82VAxVZSWwGHWp5EO4Q4dUDCBE&uact=5&oq=Alun-Alun+Sumenep&gs_lp=Egtnd3Mtd2l6LWltZyIRQWx1bi1BbHVuIFN1bWVuZXAyBRAAGIAEMgQQABgeMgQQABgeMgYQABgFGB4yBhAAGAUYHjIGEAAYBRgeMgYQABgIGB5InAhQAFgAcAB4AJABAJgBS6ABS6oBATG4AQPIAQD4AQL4AQGYAgGgAlWYAwCSBwExoAfhA7IHATG4B1XCBwMyLTHIBwaACAE&sclient=gws-wiz-img#sv=CAMSURoyKhBlLTU4Q09SRmp6eGFfMTJNMg41OENPUkZqenhhXzEyTToOU2RONTRjSEZNLWJERU0gBCoXCgFzEhBlLTU4Q09SRmp6eGFfMTJNGAEwARgHILjoxdwOSggQARgBIAEoAQ
210,Alun-Alun Batu,Jawa Timur,Rekreasi & Taman,4.7,6678,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-7.8711,112.527,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnun4nsEKJhSDIjub16atvWnI4yGhQ:1783857645594&udm=2&fbs=ABfTbFVdAvmwgHmsmshcOeMNJVWx_KL9Ul3hczeGbc0l1N0cyreQRiiDXxRw_MNP26XhwYiLTxzrQ2ZV6-nZ_B67ZnyvnWXCiMq6NvVUjWBSPgUbeSWXiQLkvSFDy2BVnf3y_gkAZpE9dU8g_GYmrO_eBuhDkA2IPzg3vLJzKA9Dk_11XRrdgbc7D_s1MIJWHDdyF0ARlqcvs9-eM9ZMKYWqTOWXk-BPEA&q=Alun-Alun+Batu&sa=X&ved=2ahUKEwjxj67Ki82VAxWRTmwGHSeLMAQQtKgLegQIExAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLXBHcDlWNld2N2NlUVZNMg5wR3A5VjZXdjdjZVFWTToOWktKM2pLcnNGWGl0dU0gBCoXCgFzEhBlLXBHcDlWNld2N2NlUVZNGAEwARgHIIrf75QOSggQARgBIAEoAQ
211,Alun-Alun Malang,Jawa Timur,Rekreasi & Taman,4.3,8242,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-7.9826,112.6308,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQntqYvcPNAR6EsVXMsRmLWOCJXNEVg:1783857879412&udm=2&fbs=ABfTbFUpYtyIDoTR6hVI_bsEYG8SsQittWpuBa-oPb3cUccx8SmC3qYT411y1bWnyQ09w_X0ctFPLc9WfOVeMvv82V99D1ROj5-Gd1rI9HXeDtscFELaUOwbQZHHncYtSIOnwu2Wf-MH7RAXSKiOjwPTScYQz_ZC01hQDpOrootjjHU4YArDAHTTzhR5AyA40YM6X6ljwq3QYG957nnBrrIm4-L5q6RI_w&q=Alun-Alun+Malang&sa=X&sqi=2&ved=2ahUKEwjfq-25jM2VAxV9xjgGHY3oCtYQtKgLegQIEhAB&biw=1280&bih=585&dpr=1.5#sv=CAMSUxoyKhBlLUZVVElvaDZpX2owOGVNMg5GVVRJb2g2aV9qMDhlTToOTEtNQXBuVnRHNFJEN00gBCoXCgFzEhBlLUZVVElvaDZpX2owOGVNGAEwATgAGAcghIeVbDoASggQARgBIAEoAQ
212,Alun-Alun Denpasar,Bali,Rekreasi & Taman,4.8,9636,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.65,115.2167,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnvrbU3UeykHdMD5GfogjbWxYQOCCA:1783858014795&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO1-aIfBGgrCcIVN0Hx3Id3CFRgWgdhozW38-arWz8kuKD88mZ7jjb2UwtdDJY3z9-wMN_brhLX--pziUUsXJ2C592_1HlmAh8a2_s_RtbA196DKdK4u0vxnhzS9brF-aeeyzgfQ&q=Alun-Alun+Denpasar&sa=X&ved=2ahUKEwjnvLT6jM2VAxWzzTgGHa8ICKMQtKgLegQIFhAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLVRkdGFic05pQU56VkNNMg5UZHRhYnNOaUFOelZDTToOM1dXamJETWZRRDBNS00gBCoXCgFzEhBlLVRkdGFic05pQU56VkNNGAEwARgHIMOG-aUOSggQARgBIAEoAQ
213,Alun-Alun Badung,Bali,Rekreasi & Taman,4.7,6059,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.5833,115.1667,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnunAmwbcrYNdCYK34sR6wLHF6R8Qg:1783858289221&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO1-aIfBGgrCcIVN0Hx3Id3CFRgWgdhozW38-arWz8kuKD88mZ7jjb2UwtdDJY3z9-wMN_brhLX--pziUUsXJ2C592_1HlmAh8a2_s_RtbA196DKdK4u0vxnhzS9brF-aeeyzgfQ&q=Alun-Alun+Badung&sa=X&ved=2ahUKEwjVjqL9jc2VAxUE1DgGHSCAI10QtKgLegQICxAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLVFLRk5UMGJrU2RJRDJNMg5RS0ZOVDBia1NkSUQyTToOOTE4Ri1WSmVIWXU4Y00gBCoXCgFzEhBlLVFLRk5UMGJrU2RJRDJNGAEwARgHIIrrxZEGSggQARgBIAEoAQ
214,Alun-Alun Gianyar,Bali,Rekreasi & Taman,4.4,11668,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.541,115.3262,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQntrQ-8JmVAHeFEwheP3JKxQHq5L2Q:1783858413316&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO1-aIfBGgrCcIVN0Hx3Id3CFRgWgdhozW38-arWz8kuKD88mZ7jjb2UwtdDJY3z9-wMN_brhLX--pziUUsXJ2C592_1HlmAh8a2_s_RtbA196DKdK4u0vxnhzS9brF-aeeyzgfQ&q=Alun-Alun+Gianyar&sa=X&sqi=2&ved=2ahUKEwi4nbi4js2VAxX-hGMGHefjBLMQtKgLegQIEhAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLTNHeWI3elBrS21KZkJNMg4zR3liN3pQa0ttSmZCTToOVk5oM2RPSDRQZXYtdk0gBCoXCgFzEhBlLTNHeWI3elBrS21KZkJNGAEwARgHIJPMzZAFSggQARgBIAEoAQ
215,Alun-Alun Tabanan,Bali,Rekreasi & Taman,4.4,18471,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.5375,115.1238,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnurpeirS46-dUOZglfeuk3oj0mCoA:1783858488983&q=taman+kota+tabanan+Alun-Alun+Tabanan&uds=AJ5uw1_a2D0D09lxm8gpKKOTUn4rUTOCgVvig2r2PIxH5GCHp2WLdXIhLDQFHwyjO3VP1qWQRSCT4DIWPh5n1RSptcaB2G2dPNq9ZmzyXlm79qkREVf2gBIn5_TbYyd41UVWt4sy_65dlKw7WJK-dGeDZA7dnOf_diP7gzZN4sop_XX6uwejsCc&udm=2&sa=X&ved=2ahUKEwjbwsLcjs2VAxW0xDgGHXkUDlIQxKsJKAF6BAgUEAE&ictx=0&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLVVqXzdHQWRDY3VQZGhNMg5Val83R0FkQ2N1UGRoTToOanZrOEhnR1VWUlBuWU0gBCoXCgFzEhBlLVVqXzdHQWRDY3VQZGhNGAEwARgHIMi9q9EKSggQARgBIAEoAQ
216,Alun-Alun Buleleng,Bali,Rekreasi & Taman,4.4,14914,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.112,115.0882,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQntTAbAqr01SeNnfSjQP84d-WO_b3w:1783858610602&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO60fVBYhiqQKjLqwNv0u5oE_wOKkwdpEy0lZ6ohE2aW76wTzoZNvRNZ2cZMYfsv-kx9g8l51TPRQFFxd8qH5J7syMDG-Su32EIkgXvRh5HPp7woDpGV-kCU84NHOi9XjsATPM3Q&q=Alun-Alun+Buleleng&sa=X&ved=2ahUKEwiBxcGWj82VAxUvwTgGHdGqLBkQtKgLegQIERAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLTNXaFUxdDhjWVlVMkpNMg4zV2hVMXQ4Y1lZVTJKTToOSGhiRmxJSTNFX2hMVE0gBCoXCgFzEhBlLTNXaFUxdDhjWVlVMkpNGAEwARgHIMra5t4OSggQARgBIAEoAQ
217,Alun-Alun Karangasem,Bali,Rekreasi & Taman,4.5,16506,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.3842,115.5414,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnsBJndDZEwiet0E00MWZjJyNnXQdQ:1783858699125&udm=2&fbs=ABfTbFVdAvmwgHmsmshcOeMNJVWx_KL9Ul3hczeGbc0l1N0cynBUDkLtfwkZqtD3Cf0aUN9OA1l3VYOC4VvVLuG_LuDws4NhCMPv_8oWEu3lWTWP2Ua1nZCXENVR_G-KCdX6IL-_HX3B9zE6ODgSOH9jTyrSehaDClGVbeC3SVq-7QU-HTS9P6bAjn-byF9QwSB2JLIIIhko-9o9TF4FpPaTpOg4ZDsonA&q=Alun-Alun+Karangasem&sa=X&ved=2ahUKEwi2x9zAj82VAxWhoWMGHbJvLAEQtKgLegQIFRAB&cshid=1783858831514185&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLVRGdmpVcTlXN2NQc25NMg5URnZqVXE5VzdjUHNuTToOaU5zd2RfM2trTmZVbk0gBCoXCgFzEhBlLVRGdmpVcTlXN2NQc25NGAEwARgHIPb19acBSggQARgBIAEoAQ
218,Alun-Alun Klungkung,Bali,Rekreasi & Taman,4.6,8157,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.5342,115.4022,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnt2qB9ChPJ8I4HrqzAP0GbjJdMgkQ:1783858944324&udm=2&fbs=ABfTbFUpYtyIDoTR6hVI_bsEYG8SsQittWpuBa-oPb3cUccx8SmC3qYT411y1bWnyQ09w_X0ctFPLc9WfOVeMvv82V99wExOBam8nH9dhG276m3xojI5wZjUrr0RcYrrV5Xt4f9ZkNCaZ3np7kIvmBiO5DvU-1FJDCOLY1VNj-wU7_KeRRRa9bwJX0ZmONqST1p7DP43OfStn9Gf4srxxiwVV6bT1JIwgA&q=Alun-Alun+Klungkung&sa=X&ved=2ahUKEwjFqNK1kM2VAxXw2TgGHRTuEPcQtKgLegQIFRAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLVBZUEhFUTNIcFY5VENNMg5QWVBIRVEzSHBWOVRDTToOeE9mcjFaTWFSbzc3cE0gBCoXCgFzEhBlLVBZUEhFUTNIcFY5VENNGAEwARgHILim7oAJSggQARgBIAEoAQ
219,Alun-Alun Bangli,Bali,Rekreasi & Taman,4.5,10915,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.2882,115.3524,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQntPrYMqBIlPGkCLbZWW6i4uMMp1WQ:1783858983001&udm=2&fbs=ABfTbFVdAvmwgHmsmshcOeMNJVWx_KL9Ul3hczeGbc0l1N0cynBUDkLtfwkZqtD3Cf0aUN9OA1l3VYOC4VvVLuG_LuDws4NhCMPv_8oWEu3lWTWP2Ua1nZCXENVR_G-KCdX6IL-_HX3B9zE6ODgSOH9jTyrSehaDClGVbeC3SVq-7QU-HTS9P6bAjn-byF9QwSB2JLIIIhko-9o9TF4FpPaTpOg4ZDsonA&q=Alun-Alun+Bangli&sa=X&ved=2ahUKEwiLg4vIkM2VAxVy3jgGHRiMPcwQtKgLegQIEhAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLXJ0NFU0aGZPUFk2UmZNMg5ydDRVNGhmT1BZNlJmTToOTWZONGhTREFZUTRKdU0gBCoXCgFzEhBlLXJ0NFU0aGZPUFk2UmZNGAEwARgHILvjpJcOSggQARgBIAEoAQ
220,Alun-Alun Jembrana,Bali,Rekreasi & Taman,4.4,15817,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.3371,114.6465,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnt_i08UAsed6AUGp_Sh6F7UUXH7fw:1783859036944&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO1-aIfBGgrCcIVN0Hx3Id3CFRgWgdhozW38-arWz8kuKD88mZ7jjb2UwtdDJY3z9-wMN_brhLX--pziUUsXJ2C592_1HlmAh8a2_s_RtbA196DKdK4u0vxnhzS9brF-aeeyzgfQ&q=Alun-Alun+Jembrana&sa=X&ved=2ahUKEwjvuufhkM2VAxXv4jgGHdcKHisQtKgLegQIERAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLUZSQ2NRX1laX3JlQV9NMg5GUkNjUV9ZWl9yZUFfTToOREVESHlnN0F6MHNMQU0gBCoXCgFzEhBlLUZSQ2NRX1laX3JlQV9NGAEwARgHIMeeq-QLSggQARgBIAEoAQ
221,Alun-Alun Mataram,Nusa Tenggara Barat,Rekreasi & Taman,4.6,15921,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.5833,116.1167,https://www.google.com/search?sca_esv=3411e0dcc18d8ddc&sxsrf=APpeQnvUjG-ZgAc1g4D_3_EBcEZnIQA3Yw:1783859262085&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO1-aIfBGgrCcIVN0Hx3Id3CFRgWgdhozW38-arWz8kuKD88mZ7jjb2UwtdDJY3z9-wMN_brhLX--pziUUsXJ2C592_1HlmAh8a2_s_RtbA196DKdK4u0vxnhzS9brF-aeeyzgfQ&q=Alun-Alun+Mataram&sa=X&ved=2ahUKEwibhJXNkc2VAxWByjgGHWURI8QQtKgLegQIFBAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLVU3NHFmWjluNWZZQ1VNMg5VNzRxZlo5bjVmWUNVTToOQ2hyN2JjWmFnVlMzZU0gBCoXCgFzEhBlLVU3NHFmWjluNWZZQ1VNGAEwARgHII6WrKoHSggQARgBIAEoAQ
222,Alun-Alun Bima,Nusa Tenggara Barat,Rekreasi & Taman,4.4,19892,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.4617,118.7297,https://www.google.com/search?sca_esv=a707d86a229c684a&sxsrf=APpeQntbc1wkr7hqdiJ81wVWcZIY1B6dVw:1783859414674&udm=2&fbs=ABfTbFUpYtyIDoTR6hVI_bsEYG8SsQittWpuBa-oPb3cUccx8SmC3qYT411y1bWnyQ09w_X0ctFPLc9WfOVeMvv82V99D1ROj5-Gd1rI9HXeDtscFELaUOwbQZHHncYtSIOnwu2Wf-MH7RAXSKiOjwPTScYQz_ZC01hQDpOrootjjHU4YArDAHTTzhR5AyA40YM6X6ljwq3QYG957nnBrrIm4-L5q6RI_w&q=Alun-Alun+Bima&sa=X&ved=2ahUKEwjnkvaVks2VAxWkyDgGHe5gNrwQtKgLegQIEBAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLVExeU1NR3NnYXhYT1dNMg5RMXlNTUdzZ2F4WE9XTToOT0JfWmNHQmtFOHlUeE0gBCoXCgFzEhBlLVExeU1NR3NnYXhYT1dNGAEwARgHIMrlhIEKSggQARgBIAEoAQ
223,Alun-Alun Sumbawa Besar,Nusa Tenggara Barat,Rekreasi & Taman,4.4,14789,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.4893,117.4332,https://www.google.com/search?sca_esv=a707d86a229c684a&sxsrf=APpeQnvTy-mPYpWpNr6FaQwmGvqqPO-ueQ:1783859562681&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO60fVBYhiqQKjLqwNv0u5oE_wOKkwdpEy0lZ6ohE2aW76wTzoZNvRNZ2cZMYfsv-kx9g8l51TPRQFFxd8qH5J7syMDG-Su32EIkgXvRh5HPp7woDpGV-kCU84NHOi9XjsATPM3Q&q=Alun-Alun+Sumbawa+Besar&sa=X&ved=2ahUKEwiI9r_cks2VAxUKxDgGHSCxNTMQtKgLegQIFRAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLXE0aGJsQnFLZDAtYzJNMg5xNGhibEJxS2QwLWMyTToOblFvdGstRlNvMGp6Z00gBCoXCgFzEhBlLXE0aGJsQnFLZDAtYzJNGAEwARgHIKLc6-gJSggQARgBIAEoAQ
224,Alun-Alun Dompu,Nusa Tenggara Barat,Rekreasi & Taman,4.5,16252,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.5332,118.465,https://www.google.com/search?sca_esv=a707d86a229c684a&sxsrf=APpeQntHM5LSIBDCTjg4Ar7swuOvZBEqlA:1783859641384&udm=2&fbs=ABfTbFWhXuTwsLiip5v2SuoCb-WKvw96U4GFC393wb6LJGbqj7OIllEUrDH4RFEOQlc7IkgQ7kE2u3BDMqkw5yVnWfbO60fVBYhiqQKjLqwNv0u5oE_wOKkwdpEy0lZ6ohE2aW76wTzoZNvRNZ2cZMYfsv-kx9g8l51TPRQFFxd8qH5J7syMDG-Su32EIkgXvRh5HPp7woDpGV-kCU84NHOi9XjsATPM3Q&q=Alun-Alun+Dompu&sa=X&ved=2ahUKEwidxIOCk82VAxW-SmwGHSovHQMQtKgLegQIExAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLWx5akNnb3JUZkJxaVlNMg5seWpDZ29yVGZCcWlZTToOVGFMRlVMdXB5Uzc3ZE0gBCoXCgFzEhBlLWx5akNnb3JUZkJxaVlNGAEwARgHINSD74IMSggQARgBIAEoAQ
225,Alun-Alun Selong,Nusa Tenggara Barat,Rekreasi & Taman,4.5,7693,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.6475,116.5361,https://www.google.com/search?sca_esv=a707d86a229c684a&sxsrf=APpeQnsnid6SjAVJCbQ60dkPncoYwnMK3Q:1783859694500&udm=2&fbs=ABfTbFUpYtyIDoTR6hVI_bsEYG8SsQittWpuBa-oPb3cUccx8SmC3qYT411y1bWnyQ09w_X0ctFPLc9WfOVeMvv82V99wExOBam8nH9dhG276m3xojI5wZjUrr0RcYrrV5Xt4f9ZkNCaZ3np7kIvmBiO5DvU-1FJDCOLY1VNj-wU7_KeRRRa9bwJX0ZmONqST1p7DP43OfStn9Gf4srxxiwVV6bT1JIwgA&q=Alun-Alun+Selong&sa=X&ved=2ahUKEwiXxK2bk82VAxWDUGcHHYJrJwMQtKgLegQIFRAB&biw=1280&bih=585&dpr=1.5#sv=CAMSURoyKhBlLS1DNGFfQzd3eEVBSllNMg4tQzRhX0M3d3hFQUpZTToOZWlscmhlTjlzaXRCLU0gBCoXCgFzEhBlLS1DNGFfQzd3eEVBSllNGAEwARgHINSflP4KSggQARgBIAEoAQ
226,Alun-Alun Praya,Nusa Tenggara Barat,Rekreasi & Taman,4.7,18083,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.7118,116.2736,https://www.google.com/search?q=Alun-Alun+Praya+&sca_esv=a707d86a229c684a&udm=2&sxsrf=APpeQnvqByl9rMYPPRkljHza09RGBDUnkw%3A1783859967479&ei=_4pTaszSHKiT4-EPkJ6r-Qs&biw=1280&bih=585&ved=0ahUKEwiMzsKdlM2VAxWoyTgGHRDPKr8Q4dUDCBE&uact=5&oq=Alun-Alun+Praya+&gs_lp=Egtnd3Mtd2l6LWltZyIQQWx1bi1BbHVuIFByYXlhIDIHECMYyQIYJzIEEAAYHjIEEAAYHjIGEAAYCBgeMgYQABgIGB4yBhAAGAgYHjIGEAAYCBgeMgYQABgIGB4yBhAAGAgYHkjhDVDzBFjzBHABeACQAQCYAVGgAVGqAQExuAEDyAEA-AEBmAICoAJcmAMAiAYBkgcBMqAH6QayBwExuAdZwgcFMC4xLjHIBwiACAE&sclient=gws-wiz-img#sv=CAMSURoyKhBlLVRmQzduZTJFZUY1aXRNMg5UZkM3bmUyRWVGNWl0TToOOWotVzdObXI5SEJNQ00gBCoXCgFzEhBlLVRmQzduZTJFZUY1aXRNGAEwARgHIJer7-UJSggQARgBIAEoAQ
227,Alun-Alun Tanjung,Nusa Tenggara Barat,Rekreasi & Taman,4.4,18339,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.3508,116.1554,https://www.google.com/search?q=Alun-Alun+Tanjung&sca_esv=a707d86a229c684a&udm=2&sxsrf=APpeQnuCZpnLevu24Rns8T2gKh99OxjRTA%3A1783860085864&ei=dYtTataWNL7d4-EPnIn2gQo&biw=1280&bih=585&ved=0ahUKEwiWpfzVlM2VAxW-7jgGHZyEPaAQ4dUDCBE&uact=5&oq=Alun-Alun+Tanjung&gs_lp=Egtnd3Mtd2l6LWltZyIRQWx1bi1BbHVuIFRhbmp1bmcyBxAjGMkCGCcyBRAAGIAEMgUQABiABDIFEAAYgAQyBBAAGB4yBBAAGB4yBBAAGB4yBBAAGB4yBBAAGB4yBBAAGB5Iwg9Q3AhY3AhwAXgAkAEAmAFNoAFNqgEBMbgBA8gBAPgBAZgCAqACWMICBhAAGAgYHpgDAIgGAZIHATKgB9cHsgcBMbgHVsIHBTAuMS4xyAcHgAgB&sclient=gws-wiz-img#sv=CAMSURoyKhBlLUx2NHpyRzFyOG91RHNNMg5MdjR6ckcxcjhvdURzTToOX0hQa3pzTGNyVzkyRE0gBCoXCgFzEhBlLUx2NHpyRzFyOG91RHNNGAEwARgHIImzxvgFSggQARgBIAEoAQ
228,Alun-Alun Kupang,Nusa Tenggara Timur,Rekreasi & Taman,4.6,18931,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-10.1667,123.5833,https://www.google.com/search?q=Alun-Alun+Kupang+NTT&udm=2#sv=CAMSURoyKhBlLXdkME1Rd2NhcnRabFVNMg53ZDBNUXdjYXJ0WmxVTToOQVpqM05WVmhvaUFBN00gBCoXCgFzEhBlLXdkME1Rd2NhcnRabFVNGAEwARgHIOGu3LgHSggQARgBIAEoAQ
229,Alun-Alun Maumere,Nusa Tenggara Timur,Rekreasi & Taman,4.6,8627,Gratis,"Taman, Area Jogging, Masjid, Playground, Area Kuliner",-8.6225,122.2111,https://www.google.com/search?q=Alun-Alun+Maumere+&sca_esv=a707d86a229c684a&udm=2&sxsrf=APpeQnuv4Hg8H7gq1kGXtPAR97StgkzphQ%3A1783860241457&ei=EYxTavOoG9Dw4-EPkrKooQ0&biw=638&bih=584&ved=0ahUKEwiz9ZSglc2VAxVQ-DgGHRIZKtQQ4dUDCBE&uact=5&oq=Alun-Alun+Maumere+&gs_lp=Egtnd3Mtd2l6LWltZyISQWx1bi1BbHVuIE1hdW1lcmUgMgcQIxjJAhgnMgQQABgeSKYIUOQEWOQEcAF4AJABAJgBTqABTqoBATG4AQPIAQD4AQGYAgGgAlSYAwCIBgGSBwExoAf9AbIHATG4B1TCBwMyLTHIBwOACAE&sclient=gws-wiz-img#sv=CAMSURoyKhBlLXkycGM2aWtIQzF5MDJNMg55MnBjNmlrSEMxeTAyTToOdzc3bTFlYTBKaTNrOE0gBCoXCgFzEhBlLXkycGM2aWtIQzF5MDJNGAEwARgHIJS9_eIMSggQARgBIAEoAQ
